608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
2730_4 	A16IVTYAYSV3SA 	To the north of the Calcutta municipal area there is the North 24 Parganas District&#44; to the east there is both North and South 24 Parganas Districts and to the south there is South 24 Parganas District.
2730_5 	ADC8VBKOVOCRR 	The river Hooghly on West has isolated this city from the district of Howrah.
2730_6 	ADC8VBKOVOCRR 	In 1772&#44; the capital of Bengal moved to Kolkata from Murshidabad.
2730_7 	A3F9QBUALMKO1 	Till 1911&#44; Kolkata was the capital of Bengal as well as the whole of British India.
2730_8 	ADC8VBKOVOCRR 	In 1923&#44; under the Calcutta Municipal Act&#44; the local governance body Calcutta Municipal Corporation was established.
2730_9 	A3F9QBUALMKO1 	After separation of India in 1947&#44; Kolkata was declared as the capital of newly formed West Bengal.
3043_1 	AKZBNT298EBKI 	Main characteristics
3043_2 	AKZBNT298EBKI 	Free distribution rights( meaning copy&#44; sell&#44; etc.)
3043_3 	AKZBNT298EBKI 	Open source code.
3043_4 	A2HFASY1SVXPSP 	The right to modify the main software as necessary and to distribute the modified version.
3043_5 	A16IVTYAYSV3SA 	The right to use this software by any person&#44; at any place for any purpose.
3043_7 	A16IVTYAYSV3SA 	As an open source operating system Linux is quite popular and this the flag-bearer product of the open source world.
3043_8 	A3F9QBUALMKO1 	Linux provides many more open source softwares for daily use; these are Openoffice.org office suite&#44; Firefox web browser&#44; GNOME and K.D.E desktop etc.
3043_9 	A1D39ISETGHJB 	Related organizations
3502_2 	A16IVTYAYSV3SA 	The picture of the modern Personal Computer (PC).
3502_3 	A16IVTYAYSV3SA 	The Computer is such a machine which is capable of computing the mathematical calculations following the proper commands.
3502_4 	A2JPXAF2MC24F7 	Though mechanical examples of computers are preserved in the human history&#44; the first computer was developed in the middle of twentieth century(1940-1945).
3502_6 	A2JPXAF2MC24F7 	Charles Babbage was the first to explicitly propagate the concept of development and use of a machine (a machine that can perform mathematical calculations without any intelligence)&#44; though he could not see its application during his lifetime.
3502_7 	A2JPXAF2MC24F7 	Computer science actually started with the theoretical and practical research of Alan Turing.
3502_8 	A16IVTYAYSV3SA 	Behind the contributions of the computers on the modern technology there were relentless hard work&#44; innovative powers and researches of human beings for centuries together.
3502_9 	A2JPXAF2MC24F7 	Various endeavors and attempts to invent different calculating machines and techniques in the prehistoric era can be called the history of computers.
3563_0 	A2HFASY1SVXPSP 	Spain ( Spanish: Espaa&#44; pronounced [espaa]) is a country in the Europe continent.
3563_1 	AZVAVU4OYMG2A 	its capital is Madrid.
3563_3 	A2HFASY1SVXPSP 	After a longterm heavy fight the Iberian Peninsula became the part of Roman kingdom and was named Hispinia.
3563_4 	A2HFASY1SVXPSP 	Although at the beginning of the middle age it was being ruled by Germans&#44; the invader Muslims conquered the country afterwards
3563_5 	A2HFASY1SVXPSP 	And then begun the scattered and centuries-long process for evacuating the Muslim rulers by the Northern Christian kingdoms.
3563_6 	AKZBNT298EBKI 	Finally&#44; the Christians succeeded.
3563_7 	A3F9QBUALMKO1 	In 1492&#44; when Columbus reached an unknown island America&#44; at that time the last sign of Muslim rule also ended from Granada.
3563_8 	A2HFASY1SVXPSP 	The new land made Spain the strongest nation of Europe and Spain was one of the main powers in the world from 16th century to the half of the 17th century.
3567_0 	A31II4QBW2DURA 	France or the Republic of France (in French language : Republique Francaise)is a country in the north west Europe.
3567_1 	A31II4QBW2DURA 	From historical and cultural point of view&#44; it is one of the most important nations of the West.
3567_2 	A16IVTYAYSV3SA 	France has also extended its influence in the international arena; its old colonies are scattered everywhere in the world.
3567_3 	A2JPXAF2MC24F7 	France&#44; surrounded by Atlantic ocean&#44; Mediterranean sea&#44; Alps mountain range and Pyrenees mountain range&#44; is acting for long as geographical&#44; economic and lingual connecting link between north and south Europe.
3567_4 	A3F9QBUALMKO1 	According to the area&#44; France is the third largest nation in Europe after Russia and Ukraine.
3567_5 	AYPRFUHZSRQVN 	And in respect of population it is the fourth largest country in Europe.
3567_6 	A3F9QBUALMKO1 	Out of the mainland&#44; there are ten French colonies in different parts of the world&#44; most of which come from the former French Empire.
3567_7 	A3F9QBUALMKO1 	France is almost hexagonal.
3567_9 	A3F9QBUALMKO1 	France is one of the oldest nations in the world.
3581_0 	A16IVTYAYSV3SA 	The United States of America is a Federal Constitutional Republic formed with 50 states and one Federal District of the North America.
3581_1 	A16IVTYAYSV3SA 	This country is known as the United States&#44; the US&#44; Federal States and United States of America.
3581_3 	A3F9QBUALMKO1 	The state of Alaska is situated in the north-west of the continent&#44; Canada is situated in the east and Russia is situated in the west across the Bering Strait.
3581_4 	A16IVTYAYSV3SA 	The Hawaiian Islands are located in the Central-Pacific regions.
3581_5 	ADC8VBKOVOCRR 	Apart from that&#44; many regions in the Caribbean and Pacific region are under the rule of United States.
3581_6 	A20J9VGWRY6KCP 	Area of United States of America is 3.79 million square mile (9.83 million square kilometres).
3581_7 	ADC8VBKOVOCRR 	The population of the country is 309 million.
3581_8 	ADC8VBKOVOCRR 	The United States is third or fourth largest country in the world in terms of total area.
3581_9 	ADC8VBKOVOCRR 	Again&#44; in terms of land area and population&#44; United States in the third largest country in the world.
4186_0 	A2HFASY1SVXPSP 	Dhaka Stock Exchange is the main stock exchange of Bangladesh
4186_1 	A2HFASY1SVXPSP 	It is located at Motijheel in Dhaka.
4186_4 	A2HFASY1SVXPSP 	Kolkata Stock Exchange was the only stock exchange in this region
4186_5 	A2HFASY1SVXPSP 	As soon as The transactions of Pakistani shares and securities were prohibited&#44; the Provincial Industrial Advisory Council set up an organizing committee for the formation Of a stock exchange in the then East Pakistan
4186_6 	A16IVTYAYSV3SA 	After crossing several stages and undergoing so many changes&#44; in 1959 the Dhaka Stock Exchange was established in its present address i.e. 9/F&#44; Motijhil Commercial Area.
4186_8 	AZVAVU4OYMG2A 	Dhaka Stock Exchange(DSE) is registered as a public limited company.
4186_9 	A16IVTYAYSV3SA 	Dhaka Stock Exchange is governed by the following rules and regulations: &#39;The Articles of Rules and Regulations and Bi lodge&#39;; &#39;The Securities and Exchange Ordinance&#44; 1969&#39;; &#39;The Companies Act&#44; 1994&#39; and &#39;The Securities and Exchange Commission Act&#44; 1993&#39;.
4199_0 	A2HFASY1SVXPSP 	Yahoo is a large internet based commercial organization.
4199_1 	A2HFASY1SVXPSP 	Its headquarter is located at Sunnyvale&#44; California Of the USA
4199_2 	A2HFASY1SVXPSP 	Yahoo! was founded by Jerry Yang and David Filo.
4199_4 	A2HFASY1SVXPSP 	Yahoo web portal
4524_0 	A2HFASY1SVXPSP 	2006&#44; A normal year in the  Gregorian calendar which is started with Sunday.
4524_8 	A2HFASY1SVXPSP 	May 20- Canada and Australia signed agreement to protect Nuclear proliferation
4524_9 	A16IVTYAYSV3SA 	These two countries have the largest Uranium deposits.
4876_1 	ADC8VBKOVOCRR 	The area of Russia is almost twice than the area of Canada&#44; the second largest country in the world.
4876_2 	A16IVTYAYSV3SA 	The official name of the country is The Federation of Russia (Russia Fidiratsia IPA&#44; as per Russian language).
4876_3 	A2HFASY1SVXPSP 	No other countries in the world has got such a huge amount of mineral resources like Russia.
4876_4 	A2HFASY1SVXPSP 	Four fifths of Russian total population live in the Eastern European parts and in the Ural moutains region
4876_5 	A16IVTYAYSV3SA 	In 2003&#44; the population of the country was little more than 14.45 millions.
4876_6 	A2HFASY1SVXPSP 	Moscow&#44; the capital city of Russia&#44; is the country&#39;s administrative&#44; cultural&#44; industrial and cultural centre.
4876_7 	A2HFASY1SVXPSP 	Russia is currently a democratic country.
4876_8 	AAF85ZPWB65DY 	The president of this country is elected by popular vote; the current president of Russia is Dmitry Medvedev.
4876_9 	A2HFASY1SVXPSP 	The majority people of the country speak Russian.
5982_0 	A31II4QBW2DURA 	Hyper text transfer protocol or HTP is a popular and wide spread method of exchanging information through internet
5982_1 	A1D39ISETGHJB 	Physicist and computer scientist Tim Barnards Lee developed this system.
5982_2 	A31II4QBW2DURA 	Worldwide everyone is using the 1.1 edition of this.
5982_3 	A1D39ISETGHJB 	Subject: Computer science
608_11 	AKZBNT298EBKI 	Bengali is one of the modern Indian languages that were generated from different derivations of middle-Indian Aryan languages at the end of first millennium in A.D.&#44;
608_12 	A3F9QBUALMKO1 	Some linguists think that Bengali Language originated in 500 AD.
608_13 	AKZBNT298EBKI 	But till that time this language did not take any fixed form; at that time&#44; its various written and sub-spoken forms were present.
608_14 	AKZBNT298EBKI 	For example&#44; it has been assumed that around the 6th century&#44; Magadhi Avahatta was generated from Magadhi Apabhramsa.
608_15 	A3F9QBUALMKO1 	Abahatta and Bengali were simultaneously spoken together for some time.
608_16 	A6W0G97QVYS6B 	The history of Bengali language is divided into three parts.
608_17 	A3F9QBUALMKO1 	Ancient Bengali (900/1000 AD-1400 AD) - written example are Charyapad&#44; Devotional songs&#44; Ami&#44; Tumi&#44; ityadi&#44; creation of pronouns&#44; verbs -Ela&#44;-Eba etc.
608_30 	A31II4QBW2DURA 	Raja Rammohan Roy was the first Grammarian among Bengalees; The name of his book is &quot;Grammar of the Bengali Language&quot; (1832)
608_31 	A31II4QBW2DURA 	During this time the usage of the spoken language was becomimg more popular over the formal language.
608_33 	A28YA9BQFLXOPT 	The main base of the Language Revolution on 1951-52 in East Pakistan (now Bangladesh) was Bengali Language.
608_35 	A2HFASY1SVXPSP 	In protest of this the language movement started.
608_36 	A2HFASY1SVXPSP 	Geographical distribution
608_40 	A2HFASY1SVXPSP 	Geographical distribution of the Bengali language as a mother tongue.
608_41 	A28YA9BQFLXOPT 	Bengali is the mother-tongue of the eastern part of South-Asia of a place named Bongo or Bengal.
608_42 	A31II4QBW2DURA 	This region consists of Indian state West Bengal and the independent country&#44; Bangladesh.
608_43 	A31II4QBW2DURA 	Bengali is the mother tongue of about 98% of people of Bangladesh
608_44 	A3F9QBUALMKO1 	Apart from that&#44; lots of Bengali speaking people lives in Middle East&#44; Malaysia and western Countries.
608_45 	A3F9QBUALMKO1 	Official Respect
608_46 	A28YA9BQFLXOPT 	Bengali is the only language that is given priority as the National language in Bangladesh.
608_47 	A3F9QBUALMKO1 	Out of the 23 official languages considered by Indian Constitution&#44;Bengali is one of them.
608_48 	A3F9QBUALMKO1 	In India Bengali is the official state language of West Bengal&#44;Tripura and other three districts&#44; Kachar&#44;Karimgange and Haila Kandhi of Assam.
608_52 	A28YA9BQFLXOPT 	Bengali Unicode
608_53 	A28YA9BQFLXOPT 	Bangali Unicode is from U+0980 to U+09FF
608_56 	A16IVTYAYSV3SA 	Books and Writings
608_57 	A2LG0SJYIUIRNC 	Subject:Language.
608_58 	A2LG0SJYIUIRNC 	Subject:Culture of Bangladesh.
6083_3 	A28YA9BQFLXOPT 	2/3 of earth is water.
6083_4 	A28YA9BQFLXOPT 	Water is a colorless&#44; odorless liquid.
6083_5 	ADC8VBKOVOCRR 	It is composed of Hydrogen and Oxygen.
6083_6 	AAF85ZPWB65DY 	One molecule of water has two Hydrogen atoms covalently bonded to a single Oxygen atom.
6083_7 	AKZBNT298EBKI 	Its chemical representation is (H2O).
6083_8 	AKZBNT298EBKI 	The freezing point of water is 0 degree Celsius and the boiling point of water is 100 degree Celsius.
6150_0 	A2HFASY1SVXPSP 	GNU Free Documentation License is one kind of copyright license authored by Free Software Foundation.
6150_1 	A2HFASY1SVXPSP 	Category: GNU Foundation.
6150_2 	A28YA9BQFLXOPT 	Subject: Copyright License
6150_3 	A28YA9BQFLXOPT 	Subject: Copyright
6169_3 	AZVAVU4OYMG2A 	Thunderbird is used for reading email.
6169_4 	A2HFASY1SVXPSP 	Email or electronic mail is a method of exchanging digital messages by means of computer networks
6169_5 	A3F9QBUALMKO1 	In 1972 the first electronic mail was sent on Arpanet.
6169_7 	A2HFASY1SVXPSP 	Email address is divided into two parts.
6169_8 	A28YA9BQFLXOPT 	the first part is the name of the user.
6169_9 	A2HFASY1SVXPSP 	The symbol @ comes immediately after that.
6317_0 	A2HFASY1SVXPSP 	World War II&#44; or the Second World War was a largest ever global military conflict lasting four years from 1939 to 1945
6317_1 	A16IVTYAYSV3SA 	The inception of this war took place with the war between Germany and the Allied Powers.
6317_2 	A2HFASY1SVXPSP 	United States&#44; France and Poland were the Allies power at the initial stage.
6317_3 	A16IVTYAYSV3SA 	Later&#44; Italy joined with Germany to from the Axis Powers.
6317_4 	A2HFASY1SVXPSP 	Armed forces were sent against the axis power from the countries which were invaded by Germany.
6317_5 	A16IVTYAYSV3SA 	Especially&#44; these soldiers took part in the war of Eastern frontier; other nations also joined with the Allied Powers.
6317_7 	A28YA9BQFLXOPT 	But on 22nd June of 1941 Germany attacked Soviet Union and for this Soviet Union got involved in the war.
