787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
4046_9 	AH89E958S7NST 	February 1: Astronat Kalpana Chawla
4052_0 	A3J1PP96QX14U0 	1996 is the smallest year as per Gregorian Calender
4052_4 	A3JM492U7XWDA4 	January 23:first version of java programming was released.
4052_6 	A3JM492U7XWDA4 	February 9:Unambiam element was discovered.
4052_7 	A3J1PP96QX14U0 	February 10: Chess playing computer has defeated a world player for the first time.
4052_9 	A3S0F1GABMBS9P 	March 2: John Howard was elected as Prime minister of Australia
4277_0 	A3J1PP96QX14U0 	Write all the Telugu movie names in this paper
4277_1 	A1Z53763UXALP 	Number of movies released by year.
4492_0 	A2M3NIA5MQX8G3 	Eenadu is a famous news paper in Telugu
4492_2 	AMKGJUEEY6ZCH 	It   has   got   a new   style   of   publishing   news   in   the   public   and  won   the   hearts   of   many   telugu   people.
4492_3 	A2M3NIA5MQX8G3 	It is the one of the famous news paper in India and Telugu.
4492_4 	AMKGJUEEY6ZCH 	It   has   published   many   people   problems   by   media   and   solved   their   problems   and   got   an  important   position   in   the  society.
4492_5 	A1WCVMMFKMAB0C 	Eenadu is the most circulated paper in Telugu.
4492_8 	A3S0F1GABMBS9P 	thumb|left|100px|Ramoji rao&#44; Founder&#44; owner&#44; Main editor&#44;Publisher.
4492_9 	A1RAFJLFW2X2V6 	thumbleft230pxl The main office of eenadu in Hyderabad and somajiguda.
4531_0 	A3J1PP96QX14U0 	Mohandas Karam Chnad Gandhi is admired by all Indians as a great freedom fighter
4531_1 	A3J1PP96QX14U0 	Indian&#39;s consider him as Father of the Nation
4531_2 	A1WCVMMFKMAB0C 	Truth and Non-Violence are gods worshiped by  Gandhi.
4531_3 	A1WCVMMFKMAB0C 	Non-Cooperation&#44; Marching are his tools to pray.
4531_5 	A3JM492U7XWDA4 	By wearing a dhoti&#44;holding a stick&#44;spinning wheel&#44;cleaning slum areas and by proposing that all religions are one he shook  the entire british empire.
4531_6 	A3JM492U7XWDA4 	He taught that courage is crucial for following Satyagraha and nonviolence.
4531_7 	A3J1PP96QX14U0 	He is called as the father of the nation because he played a key role in getting the independence to India.
4531_8 	A3J1PP96QX14U0 	The future generations will not believe that this kind of man lived between us.
5727_0 	A1E6RS45GUAFC3 	Popularly known as Chiranjeevi&#44; Konidela Shiva Shankara Vara Prasad is famous lead actor in Telugu cinema industry.
5727_1 	A1Z53763UXALP 	He gradually raised to the status of MegaStar and gained affection of viewers.
5727_4 	A3S0F1GABMBS9P 	Chiranjeevi was born as a eldest son of Konidela Venkat Rao and Konidela Anjana Devi on August 22&#44;1955 in Mogalthur&#44;West Godavari district. Chiranjeevi was married in 1980 to Surekha&#44; daughter of Famous comedian Allu Ramalingayya.
5727_5 	A1E6RS45GUAFC3 	They have two daughters and one son.
5727_6 	A1E6RS45GUAFC3 	Chiranjeevi&#39;s brothers are Nagendra Babu(Cinema Producer and Actor) and Pavan Kalyan(Leading Actor).
5727_8 	AI1HQO6HZCVT7 	nephew of chiranjeevi&#44; allu arjun is also doing well in films as hero
5727_9 	A10WWCR8CVY4CH 	Chiranjeevi&#39;s son Ram charan tejas Chirutha movie started in 2007.
5740_0 	A1UX3BQYCDI1ZV 	See information regarding Linux Kernel in Linux Kernel.
5740_1 	AI5E50BGAUZH2 	Tux is a penguin character normally shown as sitting&#44; and this is an official logo of the Linux.
5740_3 	A1UX3BQYCDI1ZV 	Linux is a computer operating system and its kernel is an example of free software and open source software.
5740_4 	A1UX3BQYCDI1ZV 	Unlike Microsoft Windows operating system or Mac/ Macintosh operating system&#44; Linux source code is not only available widely but also free of cost.
5740_6 	A1UX3BQYCDI1ZV 	In reality Linux is the name of its kernel&#44; but usually used to recognize&#44; Unix like Linux operating system&#44; as a whole.
5740_7 	A1UX3BQYCDI1ZV 	Some say that this has to be called as GNU/Linux operating system.
5740_8 	AI5E50BGAUZH2 	look here for more detail discussions.
5740_9 	A1UX3BQYCDI1ZV 	In the early stages&#44; Linux was developed by a few enthusiasts.
5897_1 	A2ZKW63AU1NQ21 	Mr Rajasekha Reddy who had been elected for the first from Pilivendula constituency and entered the State Assembly in 1978&#44; and subsequently had been elected  in total 6 times from Pulivendula Constituency and 4 times from Cuddapah Constituency for LokSabha and entered Parliament.
5897_2 	A2ZKW63AU1NQ21 	To get elected in each and every election he contested was his speciality.
5897_3 	A1Z53763UXALP 	When he won his first election(1978)&#44; despite the JanataParty landslide&#44; he got ministerial berth.
5897_4 	A1Z53763UXALP 	After that when three Chief ministers changed in succession&#44; he got posts with all three of them.
5897_6 	A1Z53763UXALP 	He didn&#39;t get the chief minister post despite trying for it in 1989-94.
5897_7 	A2ZKW63AU1NQ21 	He got elected for the State Assembly again in 1999 and being an opposition leader during that period paved path for the succedd of Congress party in next elections.
5897_8 	A1Z53763UXALP 	His 1460 Km foot march in hot summer of 2003 and promises of free electricity laid path to his victory.
5897_9 	AKQNWRMKJZMJA 	He won the 2004 Elections from pulivendula assembly constituency with a majority of over 40&#44;000 votes at the same time congress Party got majority seats in the state as a result YS Rajashekar Reddy got chief minister post.
6185_0 	A1E6RS45GUAFC3 	Cinema has become a part of Telugu people&#39;s culture and life.
6185_2 	A1E6RS45GUAFC3 	Telugu websites pertaining to Cinema are more than compared to other sites.
6185_3 	A1E6RS45GUAFC3 	Telugu cinema is in the first place in Indian cinema in terms of number of movies produced and in second place (almost at par with Tamil Film industry)in terms of business value.
6185_4 	AI1HQO6HZCVT7 	recognised by guinness book of world records&#44; world&#39;s
6185_5 	A20TYKNP46IORG 	The biggest modern film studio Ramoji film city is located in Hyderabad&#44; the founder is Romojirao
6185_7 	A1Z53763UXALP 	Dasari NarayanaRao has directed 149 movies in several languages.
6185_8 	A1Z53763UXALP 	RamaNaidu is the producer who produced most number of movies in various languages.
6185_9 	ADMENGADDLNDK 	Brahmanandam acted in many movies in a very short time(more than 750 movies)
6271_0 	A3B48GWF4518EC 	2006 is the Gregory calender referential year.
6271_2 	A3RS82XNENF2NT 	june 9 : international soccer world cup started in germany
6271_4 	AI5E50BGAUZH2 	December 1: 15th Asian Games started in Doha.
6271_5 	AI5E50BGAUZH2 	Deceber 30: Iraq&#39;s former President Saddam Hussain was executed.
6271_9 	AI5E50BGAUZH2 	April 29: Famous Economist John Kenneth Galberth.
6479_0 	AN9IFNKPF7N1I 	Potuluri Veerabrahmendra swamy
6479_1 	AN9IFNKPF7N1I 	Potuluri Veerabrahmendra swamy
6479_2 	A1XG5UQQ1NNGYG 	pottuluri brammandra swamy(1610-1693) in 17th century has given the future details and the society related to devotes
6479_3 	A15YKQU4TT7169 	The real gods.Many things came true which were told by   brahmamgaru in kalagnanam.
6479_5 	A15YKQU4TT7169 	The kandhimallayaplle became famous as brahmamgari matam  by the divinity of veerabrahmam garu.
6479_6 	A15YKQU4TT7169 	The people rememorize that it was told  by barhamamgaru whenever a thing happened.
6479_7 	AN9IFNKPF7N1I 	Every thing will happened what ever brahamma say.
6550_0 	A2NVTQQZ6P8Q49 	Girls dancing around the idol in Sankranti festival
6550_1 	AI5E50BGAUZH2 	The meaning of &#39;Sankranthi&#39; or &#39;Sankramanam&#39; is change.
6550_2 	A2NVTQQZ6P8Q49 	sun arises on 12th period from aries sign gradually from to Pooram sign to Leo sign in sankranti festival.
6550_4 	A3T1KZYNIUW9IN 	the sun enter in to makara rashi (capricorn)in winter when the cold breezes and snow drops in this season  this festival called makara sankranthi has very much  signifacance in india.
6550_6 	A3001PT6PJLZJL 	on the day of makara sankranthi&#44; i&#44;e on 14th of january the sun enters in the east phase.
6550_7 	A3T1KZYNIUW9IN 	from this day the doors of heaven remain open.
6550_9 	A3T1KZYNIUW9IN 	in the  sankranthi festival the persons with bulls which  are decorated beautifully perform some acts.
7686_0 	A15YKQU4TT7169 	The sugar disease or madhumeha is known in medical language as  diabetes.
7686_1 	A30DCB3TFOQO3B 	This disease also called diabetes&#44; is characterized by the symptoms that manifest because of uncontrolled metabolism due to lessened insulin hormone levels and high blood glucose levels.
7686_2 	A30DCB3TFOQO3B 	Frequent urination(polyurea)&#44;increased thirst(polydipsia)&#44;defective eye sight&#44;unexplained weight loss  and lethargy are the main symptoms.
7686_4 	A30DCB3TFOQO3B 	According to W.H.O&#44;the prevalence of this disease is higher in India&#44;China and USA.
7686_5 	A30DCB3TFOQO3B 	There are no medicines to cure this disease.
7686_6 	A30DCB3TFOQO3B 	With life long precautions this disease can be kept under control.
7686_7 	A30DCB3TFOQO3B 	Three types of Diabetes mellitus recognized by W.H.O.:Type 1 caused by various reasons&#44;Type 2&#44;and gestational diabetes(Diabetes in pregnant ladies).
7686_9 	A8F58O3WZN974 	Type-I diabetes is due to the damage that occurs to the beta cells from our body&#39;s immune system(auto immunity).
787_10 	AMKGJUEEY6ZCH 	7th century they wrote several sanskrit poems.
787_14 	A1UX3BQYCDI1ZV 	There are evidences that the great champion&#44; Goutam Budhdha paid a visit to Dhaanyakataka (Amaravathi).
787_15 	A1UX3BQYCDI1ZV 	Soon after the death of Mourya Emperor Ashoka (232 B.C.)people of Andhra came into the limelight.
787_16 	A2M3NIA5MQX8G3 	Modern historians believe that the history of andhra&#39;s start from that time.
787_17 	A1UX3BQYCDI1ZV 	Region of Andhra was ruled by kings belonging to the dynasties of Andhra (Satavahana)&#44; Shaka&#44; Pallava&#44; Ikshvaku&#44; Telugu Chola&#44; East Chalukya&#44; Kakatiya&#44; Vijayanagara&#44; Qutub Shahi&#44; Hyderabad Nizams etc.
787_19 	A3RS82XNENF2NT 	because of the british domination&#44;the nijam of hyderabad remained with in the telengana region only
787_20 	A1WCVMMFKMAB0C 	After India &#39;s independence
787_21 	AQYLTGQE4K8FV 	In 1947 after India got independence from the English people&#44; the Nizam rulers tried to keep the Hyderabad Region under their control.
787_22 	AQYLTGQE4K8FV 	Due to the Police Forces in 1948 the Hyderabad region came under India Government and it was formed as the Hyderabad state
787_24 	AQYLTGQE4K8FV 	A High Court Was Established in Guntur.
787_25 	APDEI7F51RYRG 	Tanguturi Prakasham Panthulu was the first Chief Minister of Andhra State.
787_26 	APDEI7F51RYRG 	On the demand of Andhra people&#44; Andhra Pradesh State was formed by merging all the Telugu speaking regions on 1st November&#44; 1956.
787_27 	A1WCVMMFKMAB0C 	Hyderabad was the capital for the new state.
787_29 	AK7QRKS6GOS4R 	Neelam Sanjiva Reddy was the first Chief Minister of Andhra Pradesh.
787_30 	AMKGJUEEY6ZCH 	In 1960&#44; by the judgment of Pataskar commission they transferred a land in chittoor district called thirutthani to tamil nadu&#44; and transferred land in tamil nadu called tiruvaloor to andhra pradesh.
787_31 	AK7QRKS6GOS4R 	When Andhra Pradesh was created it had only 20 districts.
787_32 	AK7QRKS6GOS4R 	With the creation of Prakasam District later on February 2&#44; 1970&#44; Ranga Reddy District on August 12&#44; 1978&#44; Vizianagaram District on June 1&#44; 1979&#44; the total districts became 23.
787_34 	AK7QRKS6GOS4R 	Neelam Sanjiva Reddy was the first Chief Minister of Andhra Pradesh.
787_35 	AMKGJUEEY6ZCH 	Upto 1982 the andhra pradesh was ruled by only congress parties.
787_36 	AK7QRKS6GOS4R 	Upto 1982&#44; Kasu Brahmananda Reddy was the longest serving Chief Minister.
787_37 	AK7QRKS6GOS4R 	After him&#44; P.V. Narasimha Rao served as Chief Minister for some time.
787_39 	A1WCVMMFKMAB0C 	In 1982 to challenge the strength of Congress in   state governments&#44; established a new political party  titled Telugudesam.
787_40 	AE9QK78PC9KRL 	With in nine months after inaugurating the party &#44; Telugudesham  party took the power of the state into its hands&#44; it was like a Lilliput hitting a bodybuilder and making him flat.
787_41 	A2N0P6E1HZYGT7 	In 2004 Assembly elections Indian Congress and TRS together participated in Elections.
787_42 	AE9QK78PC9KRL 	As Congress and Terasa alliance came to power&#44; Mr. Y S Rajashekhara Reddy belonging to Congress became Chief Minister.
787_44 	A1WCVMMFKMAB0C 	As Prajarajyam party established by Chiranjeevi and  B.J.P. also competed it became a multifaceted   competition
787_45 	AE9QK78PC9KRL 	Mr. Y S Rajashekhara Reddy became continuously Chief Minister a second time as the Congress Party won in majority seats.
787_46 	AE9QK78PC9KRL 	Mr. Konajeti Roshayya is continuing as Chief Minister as Mr. Rajashekhara Reddy died in helicopter accident on September 2&#44; 2009.
787_49 	A1GEUMI28IQ2PS 	There are three main regions in andhra pradesh:  The coastal andhra&#44;telangana&#44;and rayalaseema.
787_50 	A1GEUMI28IQ2PS 	There are 23 districts in the state.
787_51 	ADOXDQPX17PHN 	Hyderabad&#44; which is the State Capital&#44; is also the biggest city.
787_52 	AN9IFNKPF7N1I 	The other important cities are Visakhapatnam&#44; Vijayawada&#44; Tirupathi&#44; Kurnool&#44; kadapa&#44; Warngal and Guntur.
787_55 	ADOXDQPX17PHN 	The head of Andhra Pradesh Government is Chief Minister&#44; however the State administration will be carried out in the name of Governor.
787_56 	ADOXDQPX17PHN 	There are 294 seats in Legislative Assembly (Lower House)&#44; 90 seats in Legislative Council (Upper House) in Andhra Pradesh. In addition to this&#44; one seat for Anglo-Indian will be nominated for Legislative Assembly. In that way&#44; there are 295 members in the Legislative Assembly.
