54_0 	AVWWDENWU115I 	See Hindi&#39;s entrance door also:
872_8 	A2RYIAK7Y9Q1CE 	Beyond all this his main intention in mind was to free India from foreign rule and obtain independence.
877_0 	A3GI3466NOP5HJ 	Islamic Republic of Pakistan or Islamic Jamhuriya-e-Pakistan or just Pakistan&#44; is an Islamic country to the west of India.
877_1 	A2JPXAF2MC24F7 	The principal languages here are Urdu&#44; Panjabi&#44; Sindhi&#44; Baluchi and Pashto.
877_2 	A3M58JENI5651B 	The Capital is &quot;Islamabad&quot; and the other important cities are &quot;Karachi&quot; &amp; &quot;Lahore&quot;.
877_3 	A3GI3466NOP5HJ 	there are four provinces of Pakistan : Punjab&#44; Sindh&#44; Balochistan and Suba-e-Sarhad. apart from these&#44; Pakistan Occupied Kashmir&#44; Shumaali region&#44; Kabaili region and Islamabad are also a part of Pakistan.
877_5 	A2JPXAF2MC24F7 	For the first time in the year 1930 Poet (Shayar) Muhammad Iqbal talked about the two-nation theory.
877_6 	A1IBD16JNAIVDB 	He talked about making a new country by combining Sindhi situated in the north- west of India&#44; Baluchistan&#44;Punjab and Afghan(Suba a surhad)
877_7 	A2JPXAF2MC24F7 	In 1933 Chaudhary Rahamat Ali&#44; a student of Cambridge University&#44; coined the term &#39;Pakstan&#39; (which later became Pakistan) for the people of Punjab&#44; Sindh&#44; Kashmir and Baluchistan.
877_8 	A1IBD16JNAIVDB 	From 1947 to 1972 Pakistan was divided into two parts- Eastern Pakistan and Western Pakistan.
884_0 	A3NMRXYNBNFNUT 	Cricket is a game which involves a bat and a ball which was first introduced in South England.
884_1 	A3NMRXYNBNFNUT 	The earliest forms of this game were recorded in the year 1598. Today this game is played in more than 100 countries.
884_2 	A2EQZRRITDQ59I 	Cricket has many forms.It&#39;s highest form is test cricket&#44;in which India is the top national team.
884_4 	A1CWCJ8MKSQHPI 	There are two teams of 11 players each in a cricket match. It is played on a grass field&#44; and at the centre&#44; there is a flat long piece of ground which is called a Pitch
884_5 	A3TMBSI2HW9NF4 	The wickets are made of wood&#44; and are situated at each end of the pitch. It is used as an aim.
884_6 	A3TMBSI2HW9NF4 	The bowler is a part of the team that fields and uses a tough&#44; fist-size ball of leather. He throws the ball from one wicket another&#44; and the opposing team&#39;s batsman has to save it from hitting the wicket.
884_7 	A1CWCJ8MKSQHPI 	Generally&#44; the ball bounces once before reaching the batsman.
884_9 	A3TMBSI2HW9NF4 	Meanwhile the other players of the bowler&#39;s team take up positions throughout the ground to field the ball. These players try to get the ball and prevent the batsman from making runs between the wickets. If possible&#44; they try to out batsman by getting the ball.
899_0 	A9YS2FWO4UV7G 	Nepal (Officially&#44; Federal Democratic Republic of Nepal) is a South-Asian&#44; landlocked country situated in the Himalayas.
899_1 	A9YS2FWO4UV7G 	In the North of Nepal is Tibet-the autonomous state of China. To the South&#44; East and West of Nepal is the country India.
899_3 	A3NMRXYNBNFNUT 	The percentage of Hindu&#39;s in Nepal is greater than that of India.
899_4 	A1ZYNAB4UPQ1UF 	Therefore on the basis of percentage&#44; Nepal is the biggest Hindu Nation.
899_5 	A2IKFQQ6A9JVIT 	The national Language of Nepal is Neplai&#44; And the people of Nepal are also called Nepali.
899_6 	A3NMRXYNBNFNUT 	Despite being a small country&#44; it is notable for its diverse geography.
899_8 	A1CWCJ8MKSQHPI 	Among the 14 tallest mountain peaks of the world&#44; 8 lie in Nepal&#44; and Mount Everest&#44; which is the highest in the world&#44; is one of them.(on the border of Everest&#44; Nepal and China)
899_9 	A1CWCJ8MKSQHPI 	The capital and the largest city of Nepal is Kathmandu.
952_0 	A1O9BHBJKVI5PS 	Wikipedia is an Internet-based free encyclopedia project.
952_2 	A3NOO9K3CY1YU5 	The word Wikipedia has been made by combining the word Wiki and Encyclopedia.
952_3 	A3GI3466NOP5HJ 	Wikipedia is a multi language encyclopedia&#44; and whoever has access to the internet can type and edit articles in Wikipedia.
952_4 	A2JPXAF2MC24F7 	The main server of Wikipedia is in Tampa&#44; Florida and additional servers are in Amsterdam and Seoul.
952_5 	A2JPXAF2MC24F7 	It was started on 21st January&#44; 2001 as a supplementary to the Nupedia&#44; an encyclopedia created by experts.
952_7 	A3I17NEOCU7A28 	In the mid-2006 it had more than 4.6 million articles&#44;in English language itself there were more than 1.2 million article.
952_8 	A3NOO9K3CY1YU5 	It is in more than 200 languages out of which there 50&#44;000 articles in 15 languages.
952_9 	A2JPXAF2MC24F7 	Wikipedia in German language was also distributed in DVD.
1011_0 	A39FCCRBQ8Q4ST 	Earth is the third planet from the Sun. Earth is the largest terrestrial planet among the other matter of the solar system. The Earth is also referred to as our Home World and Terra.
1011_2 	A39FCCRBQ8Q4ST 	According to scientific evidence the planet was formed 4.54 billion years ago and life appeared on its surface about a billion years ago. Since then the atmosphere and abiotic conditions have changed so as to stop the broadcast of aerobic organisms and production of the ozone layer which along with the earth&#39;s magnetic fields stops dangerous radiation to penetrate enabling life on the planet.
1011_3 	A39FCCRBQ8Q4ST 	The outer surface of the earth is divided into hard sections and plates which are displaced on the surface in many millions of years. Nearly 71% of the surface is covered with salt water and the remaining area is divided into continents and islands&#44; fresh water which is essential for life and whose availability is unknown on other planets. The earth&#39;s internal surface has active with a solid layer of mantle&#44; a liquid core which forms a magnetic field and a solid inner iron core.
1011_4 	A13XN0JFSCA5BF 	Earth Intracts with other objects in outer space&#44; espacially sun and moon. At present earth orbits the sun once for every roughly 366.26 times it rotates on its axis&#44; which is equal to 365.26 solar days&#44; or one sidereal year. The Earth axis of rotation is tilted 23.4 away form the perpendicular to its orbital plane&#44; producing seasonal varition ont the planet&#39;s surface whith a period of one tropical year(365.24 solar days). Earth&#39;s only known natural satellite&#44; the moon&#44; which began orbiting it about 4.53 billion years ago&#44; provides ocean tides&#44; stabilizes the axial tilt and gradually slows the plane&#39;s rotation. Planet&#39;s early days numerous asteroid impacts during the late heay bombardment caused significant changes to the surface environment.
1011_7 	AL9K2BNO4E0F4 	The first atmosphere on earth was born by many gaseous and volcanic processes.  Water vapour&#44; ice and liquid water&#44; generated by the processes of insignificant and big ancient planets near Neptune and Pluto&#44; produced the oceans.  It is understood that about 4 billion years ago&#44; high energy chemical processes produced model atoms&#44; and half a billion years later&#44; last common ancestor of all life came into being.
1011_8 	AL9K2BNO4E0F4 	Light radiation from the sun enabled use of sun&#39;s energy in daily life&#44; as a result oxygen in the atmosphere reacted and got converted to a layer of ozone (a form of atomic oxygen [O3] in the upper atnosphere).  Evolution of complex organisms&#44; called eukaryotes&#44; happened by the combination of big and small cells.  Growth of multicellular living organisms happens specially well in colonies&#44; for their growth nuclear radiation is harmful and this radiation is reduced by the ozone layer&#44; and thereby life evolved on earth.
1011_9 	AL9K2BNO4E0F4 	Without any dry land in the beginnig&#44; the total area of the top surface of the oceans has been growing gradually during the last 2 billion years.  For example&#44; the total size of the continents
1257_1 	A1CWCJ8MKSQHPI 	In Indian culture&#44; Holy texts have a special importance&#44; and the Purans are among the most important of all the holy texts.
1257_2 	A3NOO9K3CY1YU5 	The eighteen ancient scriptures  called Puranas center around different Gods and Goddesses and the aspects of good&#44; bad&#44; work&#44; non-work are dealt with in detail.
1257_3 	A3NOO9K3CY1YU5 	Some Puranas (ancient scriptures) describe in detail  every aspect of creation&#44; its beginning till the end.
1257_4 	A3NOO9K3CY1YU5 	These contain excellent versions of the ancient mythological stories of Hindu Gods and Goddesses.
1257_6 	A1CWCJ8MKSQHPI 	In the course of development&#44; methods of worship of multiple deities and universal God slowly gave way to the methods of idol worship and incarnations.
1257_8 	A17C2H9W3EL9YD 	Puraan literaly means - &#39;OLD&#39; or &#39;ANCIENT&#39;
1257_9 	A2HYN509OGM53T 	The word &#39;Pura&#39; means - &#39;yet to come&#39; and &#39;passed away&#39;.
1259_0 	A112IE8PQYXT3Q 	Jawahar Lal Nehru (November 14&#44; 1889 - May 27&#44; 1964) was born in Allahabad city of Uttar Pradesh.
1259_1 	A112IE8PQYXT3Q 	He was the first prime minister of the independent India.
1259_4 	A3NOO9K3CY1YU5 	His mother&#39;s name was Swaroop Rani Nehru.
1259_5 	A3KCINWW8X6DCQ 	He was the only son of Motilal Nehru
1259_6 	A3KCINWW8X6DCQ 	Besides him Motilal Nehru had 3 daughters also
1259_7 	A3NOO9K3CY1YU5 	Nehru was a Saraswat Brahmin of Kashmiri decendence.
1259_9 	A9YS2FWO4UV7G 	He completed his schooling from Harrow and college education from Trinity colloege&#44; London.
1293_0 	A3NOO9K3CY1YU5 	Ravindranath Tagore (Robindranath Tagore in Bengali language (May 7&#44; 1861 - August 7&#44; 1941) is also known by the name Gurudev.
1293_2 	A2GGFBEGFXJFRS 	He was a visionary man who gave a new life to Indian cultural consciousness with the aid of Bengali literature.
1293_3 	A2GGFBEGFXJFRS 	He was the first Asian to be awarded wit the Nobel prize.
1293_4 	A3NOO9K3CY1YU5 	He is the only poet whose lyrics were made as national songs of two nations- &#39;Jana gana mana&#39;&#44; the national song of India and  &#39;Aamar Sonar Bangla&#39;&#44; the national song of Bangladesh&#44; were written by Gurudev.
1293_7 	A2GGFBEGFXJFRS 	He studied in the reputed St. Xavier school.
1293_8 	A2GGFBEGFXJFRS 	Tagore became a student in a public school in Bridgetown&#44; England in 1978with a desire to become a lawyer.
1293_9 	A2GGFBEGFXJFRS 	He studied law in the London University but came back before passing the degree in 1880.
1385_0 	A3RITO7R5N0CKJ 	Goswamy Tulasidas (1497 - 1532)
1385_2 	A3RITO7R5N0CKJ 	His was born in Rajapur in Uttar Pradesh .
1385_4 	A1ESKJFDQUMBL4 	Tulsidas is known as incarnation of Maharshi Valmiki who basic creator of Ramayana.
1385_5 	A3NOO9K3CY1YU5 	The scripture  Ramcharitamanas dedicated to Lord Sri Ram is based on Valmiki Ramayana and written in Avadh language; it is read with pure devotion in the whole of northern India.
1385_6 	A1ESKJFDQUMBL4 	After that Vinay Patrika is another important poetry written by Tulsidas.
1405_0 	A1IBD16JNAIVDB 	Mumbai is the capital of Indian state  Maharashtra (Old name Bombay) which is situated in the Indian West cost.
1405_2 	A370556EFVZ9W4 	This is composed of seven small islands that have been formed by volcanic eruptions and is connected to the mainlan via a bridge.
1405_3 	A370556EFVZ9W4 	Mumbai port is India&#39;s best sea port.
1405_4 	A370556EFVZ9W4 	Mumbai&#39;s coastline is not uniform and this is why it is natural and beautiful.
1405_5 	A370556EFVZ9W4 	Tourists and travellers coming vai ship from Europe&#44; America&#44; Africa and other Western nations come to Mumbai before reaching any other part of India and this is why Mumbai is called the Gateway of India.
1405_7 	AFD2H8FZGWTBE 	Which contributes about five percent of the Gross Domestic Products of India.
1405_8 	A370556EFVZ9W4 	This contributes 25% of India&#39;s industrial production&#44; 40% of shipping trade&#44; 70% of India&#39;s total trade capital.
1405_9 	A370556EFVZ9W4 	Mumbai is one of the world&#39;s top ten economic centers.
1406_0 	A1EJBHL6NE2FYF 	the word dipawali means festival of light
1406_1 	A3JQSOH54N4S0A 	The Dipavali is the main festival of Hindu family.
1406_2 	A3M58JENI5651B 	People from Sikhs&#44; &quot;Buddhists&quot; and Jain religions also celebrate this.
1406_4 	A1ZYNAB4UPQ1UF 	All citizens of Ayodhya were filled with joy on the arrival of their beloved king.
1406_5 	A23Y99P6PXHO5P 	The Ayodhya residents burnt lamps filled with clarified butter to welcome Sri Ram.
1406_6 	A1ZYNAB4UPQ1UF 	The lamps brightened the darkness of the night of that new moon day of the Indian month of Kartik.
1406_7 	A23Y99P6PXHO5P 	Since then&#44; every year this festival is celebrated in India with zeal and enthusiasm.
1406_9 	A1ZYNAB4UPQ1UF 	Dipawali is a festival of lights.
142_10 	A1O9BHBJKVI5PS 	Many artifacts of the Hindu religion are found in the Sindhu valley civilization of India (and the present-day Pakistan region).
142_12 	A12J6U15W1MWZ 	According to historians point of view at the last stage of this culture a different cast of people arrived from middle Asia&#44; they introduced them selves Aryans and speak a mixed Hind European language is called Sanskrit.
142_13 	A2D03GK70QKMF0 	According to another viewpoint&#44;the people of Sindhu Valley were themselves Aryans and their nativeland was India.
142_14 	A3P2WQO8VESWF2 	The civilization of Aryans were called Vedic civilization.
142_15 	A3P2WQO8VESWF2 	As per the first view point&#44; about 1700 years BC&#44; Aryans settled in Afghanistan&#44; Kashmir&#44; Punjab and Haryana.
142_17 	A2D03GK70QKMF0 	First four Vedas were created&#44;out of which Rigveda was the first.
142_18 	A2D03GK70QKMF0 	After that holy books like Upnishad came into existence.
142_19 	A2D03GK70QKMF0 	After the separation of the religions buddhism and jainism&#44;there were many changes in the Vedic religion.
142_20 	A12J6U15W1MWZ 	New philosophies and Gods emerged.
142_22 	A12J6U15W1MWZ 	In a second point of view&#44; it seems the origin of Hindu religion is from Indian tradition which is before Sindhu Saraswati tradition.
142_25 	A1ESKJFDQUMBL4 	Hindu told his religion most like Sanatan religion or Vaidik religion.
142_27 	A12J6U15W1MWZ 	In Sanskrit&#44; there are two main meanings for Sindhu - First&#44; Sindhu germinates from Maansarovar and flow through Ladak and Pakistan and reaches to Arabian Sea. Second&#44; is a sea or a lake.
142_28 	A12J6U15W1MWZ 	According to description of rivers in Rig Vedic those were seven rivers: Sindhu&#44; Saraswati&#44; Vitasta(Jhalam)&#44; Shududri(Satlaj)&#44; Vipas(Vyas)&#44; Parushini(Raavi) and Asikani(Chanab).
142_29 	A12J6U15W1MWZ 	According to Lingustics&#44; the sound of &#39;sa&#39; of Arya language Hind is changed to &#39;ha&#39; of Iranian language.
